scientific_name,count,height_M
Acer saccharum,227,
Quercus phellos,171,
Lagerstroemia indica,161,
Acer rubrum,148,
Quercus palustris,133,
Zelkova serrata,129,
Ulmus alata,79,
Fraxinus pennsylvanica,53,
Pyrus calleryana,46,
Acer campestre,45,
Platanus occidentalis,44,
Pinus taeda,41,
Ginkgo biloba,41,
Pistacia chinensis,36,
Liquidambar styraciflua,32,
Ulmus americana,31,
Tilia cordata,27,
Platanus acerifolia,22,
Acer saccharinum,19,
Prunus serrulata,19,
Acer platanoides,19,
Cornus florida,16,
Juniperus virginiana,16,
Cercis canadensis,15,
Prunus yedoensis,14,
Ilex,13,
Quercus alba,12,
Tsuga canadensis,11,
Koelreuteria paniculata,11,
Quercus rubra,10,
Sophora japonica,10,
Ulmus parvifolia,10,
Amelanchier arborea,9,
Cupressus leylandii,9,
Celtis occidentalis,8,
Prunus,8,
Liriodendron tulipifera,7,
Acer griseum,7,
Quercus nigra,7,
Gleditsia triacanthos,7,
Acer palmatum,7,
Ulmus rubra,6,
Thuja occidentalis,6,
Carpinus betulus,5,
Robinia pseudoacacia,4,
Malus,4,
Quercus stellata,4,
Acer ginnala,4,
Cornus kousa,4,
Quercus falcata,3,
Carpinus caroliniana,3,
Quercus acutissima,3,
Magnolia soulangeana,3,
Quercus robur,2,
Nyssa sylvatica,2,
Prunus caroliniana,2,
Fraxinus americana,2,
Prunus serotina,2,
Ailanthus altissima,2,
Pinus strobus,2,
Ostrya virginiana,2,
Magnolia stellata,2,
Carya tomentosa,1,
Tilia americana,1,
Carya glabra,1,
Viburnum,1,
Taxodium distichum,1,
Ligustrum,1,
Sassafras albidum,1,
Salix matsudana,1,
Acer negundo,1,
Quercus coccinea,1,
Juglans nigra,1,
Fagus sylvatica,1,
Fraxinus nigra,1,
Populus deltoides,1,
Ilex opaca,1,
Picea pungens,1,
Morus rubra,1,
Diospyros virginiana,1,
